hybrid_id, fec,vmm,ch, pedestal [mV]
025040107410003168d2a000a00000e2,2,4,26,164
025040107410003168d2a000a00000e2,2,4,27,162
025040107410003168d2a000a00000e2,2,4,28,165
025040107410003168d2a000a00000e2,2,4,29,169
025040107410003168d2a000a00000e2,2,4,30,163
025040107410003168d2a000a00000e2,2,4,31,163
025040107410003168d2a000a00000e2,2,4,32,163
025040107410003168d2a000a00000e2,2,4,33,166
025040107410003168d2a000a00000e2,2,4,34,166
025040107410003168d2a000a00000e2,2,4,35,162
025040107410003168d2a000a00000e2,2,4,36,163
025040107410003168d2a000a00000e2,2,4,37,167
025040107410003168d2a000a00000e2,2,4,38,164
025040107410003168d2a000a00000e2,2,4,39,167
025040107410003168d2a000a00000e2,2,4,40,163
025040107410003168d2a000a00000e2,2,4,41,166
025040107410003168d2a000a00000e2,2,4,42,164
025040107410003168d2a000a00000e2,2,4,43,164
025040107410003168d2a000a00000e2,2,4,44,167
025040107410003168d2a000a00000e2,2,4,45,167
025040107410003168d2a000a00000e2,2,4,46,163
025040107410003168d2a000a00000e2,2,4,47,165
025040107410003168d2a000a00000e2,2,4,48,166
025040107410003168d2a000a00000e2,2,4,49,166
025040107410003168d2a000a00000e2,2,4,50,163
025040107410003168d2a000a00000e2,2,4,51,166
025040107410003168d2a000a00000e2,2,4,52,160
025040107410003168d2a000a00000e2,2,4,53,162
025040107410003168d2a000a00000e2,2,4,54,168
025040107410003168d2a000a00000e2,2,4,55,162
025040107410003168d2a000a00000e2,2,4,56,169
025040107410003168d2a000a00000e2,2,4,57,162
025040107410003168d2a000a00000e2,2,4,58,166
025040107410003168d2a000a00000e2,2,4,59,169
025040107410003168d2a000a00000e2,2,4,60,163
025040107410003168d2a000a00000e2,2,4,61,165
025040107410003168d2a000a00000e2,2,4,62,167
025040107410003168d2a000a00000e2,2,4,63,164
hybrid_id, fec,vmm,ch, pedestal [mV]
025040107410003168d2a000a00000e2,2,5,0,167
025040107410003168d2a000a00000e2,2,5,1,169
025040107410003168d2a000a00000e2,2,5,2,169
025040107410003168d2a000a00000e2,2,5,3,167
025040107410003168d2a000a00000e2,2,5,4,168
025040107410003168d2a000a00000e2,2,5,5,169
025040107410003168d2a000a00000e2,2,5,6,165
025040107410003168d2a000a00000e2,2,5,7,169
025040107410003168d2a000a00000e2,2,5,8,170
025040107410003168d2a000a00000e2,2,5,9,165
025040107410003168d2a000a00000e2,2,5,10,170
025040107410003168d2a000a00000e2,2,5,11,166
025040107410003168d2a000a00000e2,2,5,12,168
025040107410003168d2a000a00000e2,2,5,13,168
025040107410003168d2a000a00000e2,2,5,14,170
025040107410003168d2a000a00000e2,2,5,15,168
025040107410003168d2a000a00000e2,2,5,16,169
025040107410003168d2a000a00000e2,2,5,17,168
025040107410003168d2a000a00000e2,2,5,18,170
025040107410003168d2a000a00000e2,2,5,19,169
025040107410003168d2a000a00000e2,2,5,20,171
025040107410003168d2a000a00000e2,2,5,21,167
025040107410003168d2a000a00000e2,2,5,22,168
025040107410003168d2a000a00000e2,2,5,23,166
025040107410003168d2a000a00000e2,2,5,24,168
025040107410003168d2a000a00000e2,2,5,25,168
025040107410003168d2a000a00000e2,2,5,26,166
025040107410003168d2a000a00000e2,2,5,27,164
025040107410003168d2a000a00000e2,2,5,28,168
025040107410003168d2a000a00000e2,2,5,29,168
025040107410003168d2a000a00000e2,2,5,30,165
025040107410003168d2a000a00000e2,2,5,31,168
025040107410003168d2a000a00000e2,2,5,32,167
025040107410003168d2a000a00000e2,2,5,33,168
025040107410003168d2a000a00000e2,2,5,34,163
025040107410003168d2a000a00000e2,2,5,35,167
025040107410003168d2a000a00000e2,2,5,36,168
025040107410003168d2a000a00000e2,2,5,37,168
025040107410003168d2a000a00000e2,2,5,38,171
025040107410003168d2a000a00000e2,2,5,39,169
025040107410003168d2a000a00000e2,2,5,40,166
025040107410003168d2a000a00000e2,2,5,41,168
025040107410003168d2a000a00000e2,2,5,42,165
025040107410003168d2a000a00000e2,2,5,43,168
025040107410003168d2a000a00000e2,2,5,44,170
025040107410003168d2a000a00000e2,2,5,45,169
025040107410003168d2a000a00000e2,2,5,46,169
025040107410003168d2a000a00000e2,2,5,47,169
025040107410003168d2a000a00000e2,2,5,48,167
025040107410003168d2a000a00000e2,2,5,49,171
025040107410003168d2a000a00000e2,2,5,50,166
025040107410003168d2a000a00000e2,2,5,51,170
025040107410003168d2a000a00000e2,2,5,52,167
025040107410003168d2a000a00000e2,2,5,53,167
025040107410003168d2a000a00000e2,2,5,54,169
025040107410003168d2a000a00000e2,2,5,55,169
025040107410003168d2a000a00000e2,2,5,56,168
025040107410003168d2a000a00000e2,2,5,57,169
