hybrid_id, fec,vmm,ch, threshold [mV]
025040107410003168d2a000a00000e2,2,4,27,243
025040107410003168d2a000a00000e2,2,4,28,247
025040107410003168d2a000a00000e2,2,4,29,250
025040107410003168d2a000a00000e2,2,4,30,245
025040107410003168d2a000a00000e2,2,4,31,245
025040107410003168d2a000a00000e2,2,4,32,245
025040107410003168d2a000a00000e2,2,4,33,248
025040107410003168d2a000a00000e2,2,4,34,249
025040107410003168d2a000a00000e2,2,4,35,243
025040107410003168d2a000a00000e2,2,4,36,245
025040107410003168d2a000a00000e2,2,4,37,249
025040107410003168d2a000a00000e2,2,4,38,246
025040107410003168d2a000a00000e2,2,4,39,249
025040107410003168d2a000a00000e2,2,4,40,245
025040107410003168d2a000a00000e2,2,4,41,248
025040107410003168d2a000a00000e2,2,4,42,245
025040107410003168d2a000a00000e2,2,4,43,246
025040107410003168d2a000a00000e2,2,4,44,249
025040107410003168d2a000a00000e2,2,4,45,249
025040107410003168d2a000a00000e2,2,4,46,246
025040107410003168d2a000a00000e2,2,4,47,247
025040107410003168d2a000a00000e2,2,4,48,248
025040107410003168d2a000a00000e2,2,4,49,248
025040107410003168d2a000a00000e2,2,4,50,244
025040107410003168d2a000a00000e2,2,4,51,247
025040107410003168d2a000a00000e2,2,4,52,242
025040107410003168d2a000a00000e2,2,4,53,244
025040107410003168d2a000a00000e2,2,4,54,250
025040107410003168d2a000a00000e2,2,4,55,244
025040107410003168d2a000a00000e2,2,4,56,251
025040107410003168d2a000a00000e2,2,4,57,244
025040107410003168d2a000a00000e2,2,4,58,248
025040107410003168d2a000a00000e2,2,4,59,251
025040107410003168d2a000a00000e2,2,4,60,245
025040107410003168d2a000a00000e2,2,4,61,247
025040107410003168d2a000a00000e2,2,4,62,249
025040107410003168d2a000a00000e2,2,4,63,247
hybrid_id, fec,vmm,ch, threshold [mV]
025040107410003168d2a000a00000e2,2,5,0,249
025040107410003168d2a000a00000e2,2,5,1,251
025040107410003168d2a000a00000e2,2,5,2,251
025040107410003168d2a000a00000e2,2,5,3,249
025040107410003168d2a000a00000e2,2,5,4,250
025040107410003168d2a000a00000e2,2,5,5,250
025040107410003168d2a000a00000e2,2,5,6,247
025040107410003168d2a000a00000e2,2,5,7,250
025040107410003168d2a000a00000e2,2,5,8,251
025040107410003168d2a000a00000e2,2,5,9,246
025040107410003168d2a000a00000e2,2,5,10,252
025040107410003168d2a000a00000e2,2,5,11,249
025040107410003168d2a000a00000e2,2,5,12,250
025040107410003168d2a000a00000e2,2,5,13,250
025040107410003168d2a000a00000e2,2,5,14,251
025040107410003168d2a000a00000e2,2,5,15,250
025040107410003168d2a000a00000e2,2,5,16,250
025040107410003168d2a000a00000e2,2,5,17,251
025040107410003168d2a000a00000e2,2,5,18,252
025040107410003168d2a000a00000e2,2,5,19,251
025040107410003168d2a000a00000e2,2,5,20,253
025040107410003168d2a000a00000e2,2,5,21,249
025040107410003168d2a000a00000e2,2,5,22,249
025040107410003168d2a000a00000e2,2,5,23,248
025040107410003168d2a000a00000e2,2,5,24,250
025040107410003168d2a000a00000e2,2,5,25,249
025040107410003168d2a000a00000e2,2,5,26,248
025040107410003168d2a000a00000e2,2,5,27,246
025040107410003168d2a000a00000e2,2,5,28,249
025040107410003168d2a000a00000e2,2,5,29,250
025040107410003168d2a000a00000e2,2,5,30,247
025040107410003168d2a000a00000e2,2,5,31,250
025040107410003168d2a000a00000e2,2,5,32,248
025040107410003168d2a000a00000e2,2,5,33,249
025040107410003168d2a000a00000e2,2,5,34,244
025040107410003168d2a000a00000e2,2,5,35,249
025040107410003168d2a000a00000e2,2,5,36,250
025040107410003168d2a000a00000e2,2,5,37,250
025040107410003168d2a000a00000e2,2,5,38,253
